ID	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
N4123	0.283	0.00199	882.3	0.883	0.525	13	35.2	17656	879	0.453	0.117	3.56	5.14	1.55
P4138	0.153	0.00418	1084.4	0.943	0.616	28.1	73.9	17656	1081	0.432	0.0571	4.3	6.21	1.87
P4139	0.234	0.00343	1137.8	0.916	0.584	19.7	60.6	17656	1133	0.459	0.0837	4.11	5.92	1.78
P4140	0.127	0.00714	1219.4	0.966	0.681	48.9	126	17656	1215	0.424	0.0344	4.84	6.98	2.1
Q4145	0.203	0.00402	1141.7	0.926	0.606	22.9	71	17656	1138	0.42	0.0736	4.26	6.15	1.85
Q4147	0.164	0.00292	901.4	0.932	0.58	21.6	51.5	17656	897	0.468	0.0684	3.94	5.69	1.71
Q4148	0.159	0.00435	1141.4	0.937	0.617	26.2	76.8	17656	1138	0.438	0.0631	4.34	6.26	1.89
Q4149	0.2	0.00286	976.8	0.918	0.57	18.8	50.5	17656	972	0.461	0.082	3.92	5.66	1.7
Q4150	0.167	0.00767	1303.9	0.96	0.684	46.4	135.3	17656	1301	0.392	0.0401	4.91	7.08	2.13
S4170	0.297	0.00231	995.3	0.881	0.537	13.5	40.7	17656	990	0.475	0.119	3.71	5.35	1.61
T4171	0.272	0.00303	1037.5	0.9	0.574	16.7	53.6	17656	1034	0.432	0.0999	3.98	5.74	1.73
T4173	0.314	0.00289	1014.7	0.885	0.569	15.2	51	17656	1010	0.45	0.115	3.93	5.67	1.71
T4175	0.352	0.00212	971.4	0.857	0.527	11.5	37.5	17656	967	0.459	0.143	3.62	5.23	1.57
G4061	0.124	0.00665	1197.1	0.962	0.673	44.3	117.4	17656	1194	0.394	0.0377	4.77	6.87	2.07
T4177	0.332	0.00126	784	0.844	0.466	9.09	22.2	17656	781	0.474	0.156	3.1	4.48	1.35
T4178	0.179	0.00747	1232	0.957	0.686	44.3	131.9	17656	1229	0.387	0.0434	4.88	7.04	2.12
T4179	0.271	0.00272	855.3	0.902	0.574	16.9	47.9	17656	852	0.442	0.098	3.87	5.58	1.68
W4195	0.0915	0.00531	1111.1	0.964	0.648	40.6	93.7	17656	1108	0.404	0.0364	4.54	6.55	1.97
W4196	0.234	0.00243	938.8	0.903	0.55	15.9	43	17656	934	0.473	0.0969	3.76	5.43	1.63
W4197	0.396	0.00134	809.1	0.813	0.473	8.11	23.7	17656	805	0.475	0.187	3.16	4.57	1.37
W4198	0.194	0.00181	810.5	0.905	0.517	14.4	31.9	17656	805	0.501	0.0947	3.46	5	1.5
W4199	0.228	0.003	970.8	0.924	0.578	20.6	53	17656	966	0.464	0.0758	3.97	5.73	1.72
X4204	0.176	0.00309	1018.7	0.925	0.578	20.3	54.6	17656	1015	0.442	0.0748	4	5.77	1.74
Y4211	0.181	0.00325	870.7	0.931	0.599	22.9	57.4	17656	867	0.438	0.0686	4.05	5.84	1.76
A4001	0.131	0.00635	1218.5	0.959	0.665	41.4	112.1	17656	1215	0.41	0.0413	4.72	6.81	2.05
A4002	0.214	0.00419	1157.2	0.932	0.611	24.9	74	17656	1153	0.449	0.0683	4.3	6.21	1.87
A4008	0.0698	0.0105	1289.4	0.982	0.73	87.5	186.2	17656	1287	0.375	0.0176	5.23	7.54	2.27
A4010	0.121	0.00767	1308.4	0.965	0.684	49.4	135.4	17656	1306	0.402	0.0354	4.91	7.08	2.13
B4020	0.195	0.00188	855.7	0.893	0.519	13.3	33.2	17656	850	0.475	0.107	3.5	5.05	1.52
C4021	0.185	0.00382	951.8	0.944	0.614	28	67.5	17656	949	0.429	0.0563	4.21	6.08	1.83
C4022	0.167	0.00374	990.7	0.941	0.608	26.3	66.1	17656	987	0.431	0.0587	4.19	6.05	1.82
C4027	0.197	0.00213	881.7	0.9	0.535	14.6	37.7	17656	877	0.474	0.1	3.63	5.24	1.58
E4044	0.151	0.00472	1130.7	0.948	0.629	31.1	83.4	17656	1127	0.423	0.0518	4.42	6.38	1.92
F4058	0.159	0.0043	1045.5	0.947	0.623	29.7	75.9	17656	1043	0.4	0.0529	4.33	6.25	1.88
G4065	0.203	0.00299	1018.1	0.917	0.573	19	52.8	17656	1014	0.439	0.0826	3.97	5.72	1.72
G4068	0.174	0.00378	1139.6	0.933	0.597	23.4	66.8	17656	1136	0.439	0.0668	4.2	6.06	1.82
G4069	0.295	0.0027	1054.7	0.887	0.555	14.6	47.7	17656	1052	0.423	0.113	3.86	5.58	1.68
H4079	0.157	0.00511	1224.9	0.943	0.634	29.5	90.3	17656	1221	0.423	0.0571	4.5	6.5	1.96
K4097	0.207	0.0035	1192.6	0.916	0.582	19.2	61.8	17656	1190	0.41	0.0837	4.12	5.95	1.79
L4101	0.176	0.00261	921.8	0.918	0.562	18.3	46.1	17656	916	0.472	0.0816	3.83	5.53	1.66
L4103	0.276	0.00143	823.2	0.863	0.481	10.1	25.2	17656	819	0.471	0.137	3.23	4.65	1.4
L4107	0.226	0.00214	977.5	0.885	0.528	12.9	37.8	17656	974	0.432	0.115	3.63	5.24	1.58
L4108	0.314	0.00195	857.3	0.876	0.524	12.6	34.4	17656	854	0.464	0.124	3.54	5.1	1.54
L4109	0.141	0.0067	1331.6	0.957	0.664	39.9	118.3	17656	1329	0.39	0.0428	4.77	6.89	2.07
L4110	0.124	0.00891	1330.3	0.971	0.704	60.4	157.4	17656	1327	0.404	0.0293	5.06	7.3	2.2
