Samples	PC1	PC2	PC3	PC4
K4097	-0.090795376013851	0.000879594847059672	0.0916743961394118	-0.116355753205725
K4098	-0.256853186183406	-0.0257878349514783	-0.072282251993693	-0.0225279456996726
L4101	-0.201791174395437	0.0164929496544561	0.0178150513194111	-0.0627040736914185
L4103	-0.258244696907227	0.0186283075103705	0.093741329871487	-0.0743551346986168
L4105	0.267578488940021	-0.0112543029517178	-0.00841261942344819	0.0380269509527823
L4106	0.0100772236335018	0.0793417044363776	0.0288953655371836	-0.0088370873556954
L4107	-0.196653234620536	0.101246494968767	0.0187621847389734	-0.0446410423875809
L4108	-0.201137602382095	-0.11228743813883	0.095185978797317	-0.0529441480486982
L4109	0.113407987891423	0.0476771944211033	0.0425138184945102	-0.0302997360158783
L4110	0.0980891944813922	-0.12398695791334	0.00834531366535602	-0.0352085485132872
M4111	0.0792190536327446	0.0322128128103242	0.0295946802756321	0.0807230125845917
M4112	0.00363021575470308	0.0295006872053717	0.0651088854556135	0.024031739923679
M4113	0.175594568632754	-0.00246857709825985	0.069264599124711	-0.0385174519524161
M4114	0.0407546471618287	-0.0178183735940232	0.12207885354059	0.0139246461227438
M4115	0.0428541552797967	0.0578698666346107	0.0598134325003659	-0.0298172956170391
M4116	0.0261241504421975	0.170453452219108	-0.00901484507966887	0.0559942680134353
M4117	-0.0635854276847152	0.193414910585329	-0.0298749453215726	0.057281838012121
M4118	0.0564856064861672	0.0401168794506331	0.10101833685232	0.135856638901267
M4119	0.0363062767762179	0.0646407839855251	0.0495494018593882	0.0629516047244702
N4121	0.0611065474211384	0.00851833192011221	0.0927553446593501	0.0381184618893619
N4122	-0.0596678141612463	0.0103672215007718	0.0747689568366463	-0.070820860968323
N4123	-0.199450882526343	-0.127256580991666	0.0180515305660793	0.0603823128214079
N4124	0.086062374569989	0.0473407520981319	0.0559697665705892	0.00187900857283845
N4126	0.225613920609132	0.0354498983338907	0.0365208093375377	-0.0196789476678059
N4127	0.161604007579848	0.0388152732709371	0.0279528288525423	0.00316438227393407
N4128	0.0764178030151154	0.060194564866196	0.0502377448736142	0.00222635556226355
N4129	0.00195865244568451	0.139173925389291	0.0785642663112132	0.0354883667426669
N4130	0.210916312855676	-0.0183032779334441	0.00910036138388098	-0.000313470368888214
