rownames	tiller	height	wetWeight	COUNTRY	Latitude	Longitude	Regions	Subspecies	tiller_raw	tiller_cat	group
W4197	[16,23)	97.6666666666667	123.333333333333	India	26.7915	92.2167	Subcontinent	IND	17	T2	[16,23)
W4198	[16,23)	77	77.92	Brunei	-4.667	114.667	SouthPacific	TRJ	18.6666666666667	T2	[16,23)
W4199	[23,30)	84.6666666666667	133.076666666667	Bulgaria	46.0897	26.4442	EasternEurope	TRJ	27.6666666666667	T3	[23,30)
W4200	[37,44)	78.3333333333333	92.54	Japan	41.8413	141.9	NorthPacific	IND	39.3333333333333	T5	[37,44)
X4203	[30,37)	74.3333333333333	101.526666666667	HongKong	24.1056	115.42	China	IND	36	T4	[30,37)
X4204	>=44	85	209.886666666667	BurkinaFaso	13.5886	-1.13074	Africa	IND	47.6666666666667	T6	>=44
X4205	<16	85	57.94	Burundi	-3.5	30	Africa	IND	14.6666666666667	T1	<16
X4206	[16,23)	105.666666666667	158.186666666667	SierraLeone	8.53267	-11.2119	Africa	AUS	20	T2	[16,23)
X4208	[30,37)	93.3333333333333	119.056666666667	SriLanka	6.9975	81.1485	Subcontinent	AUS	29.6666666666667	T4	[30,37)
X4209	[16,23)	78	64.2333333333333	Uncertain	NA	NA		TRJ	17.3333333333333	T2	[16,23)
X4210	[37,44)	79.3333333333333	178.226666666667	Indochina	14.7286	101.241	SoutheastAsia	IND	42.6666666666667	T5	[37,44)
Y4211	<16	105.666666666667	142.576666666667	RussianFederation	44.7223	38.2919	EasternEurope	TEJ	14	T1	<16
Y4212	[23,30)	53.6666666666667	73.2966666666667	Brazil	-14.5368	-45.1984	SouthAmerica	TRJ	24	T3	[23,30)
Y4213	[23,30)	66.3333333333333	87.4966666666667	CoteDIvoire	5.71182	-6.6676	Africa	TRJ	22.6666666666667	T3	[23,30)
Y4214	[16,23)	62	115.1	UnitedStates	34.7475	-91.5883	NorthAmerica	TRJ	20	T2	[16,23)
Y4215	[30,37)	54	81.0633333333333	Philippines	32.8307	-92.6377	SouthPacific	IND	35.6666666666667	T4	[30,37)
Y4216	[30,37)	73	136.01	UnitedStates	32.6024	-91.017	NorthAmerica	TEJ	34.3333333333333	T4	[30,37)
