tiller	PCo1	PCo2	PCo3	PCo4	PC1	PC2	PC3	PC4
N4129	9	0.00195865244568451	0.139173925389291	0.0785642663112132	0.0354883667426669	0.0437116	0.0394607	-0.105829	-0.0389852
N4130	23.33	0.210916312855676	-0.0183032779334441	0.00910036138388098	-0.000313470368888214	-0.0690282	-0.0351695	0.00910633	0.104534
P4132	12.33	0.0696214945311902	0.0527738595972781	0.0387616563793142	-0.0355021568299392	-0.0559933	0.12168	0.00479361	-0.0290809
P4134	23.67	-0.0288581728956964	0.0726523362371077	0.0471724764787357	0.00543395872545101	0.00859542	0.0408603	-0.0182987	0.026707
P4135	21.33	0.141503588414507	-0.035800130712582	0.0665829053605704	-0.0264658861564985	-0.0714878	-0.0755232	0.00625575	-0.0348038
P4138	7	-0.128632537496433	-0.102754543124533	-0.0770902531016177	0.0245251934903379	0.0949095	-0.0109389	-0.0561907	-0.00333292
P4139	8.33	-0.148587546143732	-0.112408883492049	-0.051465004934438	-0.0488512142848114	0.111642	-0.00842801	0.15585	-0.00111126
P4140	11.33	0.0607241375470019	-0.055997313301986	-0.0580727676115977	0.0458317316864108	-0.0688886	-0.0650085	0.00318738	0.0245635
Q4141	11	0.0865191148036296	0.0136030291839498	-0.0415348409013067	0.044188954761345	-0.065398	-0.0574707	0.00319035	0.0410908
Q4142	7	-0.170013154024113	0.0460080552280046	0.0455064795468603	0.0103628470819325	-0.0621217	-0.0702575	0.0062715	-0.0240426
Q4143	11.67	0.0974483959177318	0.0477025468380529	0.0735742927620128	-0.0123218029799425	-0.0612361	-0.069584	0.00691086	-0.00383445
Q4144	7	0.0819288293791879	0.102479078754357	0.00101334578153322	0.137251656440206	-0.066984	-0.077498	0.0106298	-0.000796043
Q4145	19.33	-0.0756504267122702	-0.0636105412002998	0.0260464581035031	0.0791063311497791	-0.0715281	-0.0756234	0.00725002	-0.0149292
Q4146	11.67	0.164493995284956	0.0718717083690487	0.0524608061002025	0.0900172425073791	-0.0605655	-0.073536	0.0102924	-0.00772621
Q4147	13.33	-0.143385955054025	-0.0491696029156731	0.0569993626691459	0.024695297686375	0.0921638	-0.019982	0.126343	0.00568603
Q4148	11.33	-0.110723139370502	-0.00961816715254052	-0.0319252142195544	-0.0986450813725537	0.110873	-0.00952119	0.15692	-0.00394078
Q4149	10.33	-0.149037616688406	-0.0488187390931539	0.0655866684175569	0.0476561154627163	0.111793	-0.00856213	0.146109	-0.00272509
Q4150	32.33	0.0659245039899563	-0.212233801120621	-0.00111332020162621	-0.0638275004522571	-0.054145	0.152416	0.0169262	0.186019
R4151	13.67	0.16205206384164	0.0667075337031288	-0.00642363336980657	0.069406576089785	-0.0262404	0.137971	0.00463812	0.218906
R4152	13	-0.0241432453577274	0.135344389709103	0.00970859884998982	0.00440110826879403	-0.0338293	0.136055	-0.000262101	0.229762
R4153	20.67	0.151131406554531	-0.0012287829892843	0.105536611117843	-0.0605660941099807	-0.0343574	0.139256	-0.000642773	0.225105
R4154	31	0.0859272216877332	0.0243081876742225	0.0600513542678057	-0.0247716458047897	-0.0675175	-0.0641225	0.00321306	-0.00439782
R4155	12	-0.0302592119240648	0.0303627849061644	0.0236305901246605	-0.11487236508045	-0.0562419	0.147436	0.00281667	-0.0822591
R4156	9.33	0.0464704959475549	-0.0223601222261447	0.0901321770431673	-0.0372053679991547	-0.0549541	0.148686	0.00157703	-0.121843
R4157	9.33	-0.0469124978090832	0.0874670164621407	0.0410353204367143	0.0244278020641384	-0.056547	0.14744	-0.000991927	-0.18016
R4158	10.67	-0.15582274963558	-0.0313650260956593	0.134031808064672	-0.0197242804893905	-0.0579073	0.152657	0.00258648	-0.0846373
S4161	16	0.0344881169669035	0.0162265285231245	-0.0262427801501513	-0.0648673654139108	-0.0538882	0.149482	0.0173995	0.174113
S4162	17.33	-0.0413955882793521	0.094662440586358	0.0162302790871055	-0.016140459692744	-0.0173574	0.133592	0.00191581	0.211705
S4165	15.67	0.183420794273576	-0.0859466187831826	0.023155805689614	-0.0846680645402635	-0.0714019	-0.0354458	0.00482283	0.0371383
S4166	22.67	0.104421642576907	-0.208980322053348	0.0582327067777216	-0.052139067211481	-0.0516402	0.150284	0.013613	0.194231
S4167	9.33	-0.0352810811735134	0.115414810526071	-0.107947168452281	-0.129368497938023	0.107581	-0.00549299	0.146689	-0.00180508
S4168	13	0.154238978923131	0.0488607077273428	0.0259095385438663	0.0120975636292312	-0.0755202	-0.038787	0.00819061	0.0535188
S4169	11.33	-0.0281837735457498	0.184418727831643	-0.0456819396474215	-0.0238324835997935	0.0930233	-0.0125706	-0.13174	0.00622044
S4170	13	-0.16075775484179	-0.128378887572931	0.135398298176829	0.0212474185824039	0.0905313	-0.0112579	-0.135556	0.00524422
T4171	16.67	-0.0858999210462181	-0.140803671530719	0.117655214831204	-0.0272196129391916	-0.0496388	0.155489	0.0048657	0.120709
T4172	17	0.0428990186168079	0.0440940377670382	0.0301430294803049	-0.0755507524055378	-0.0580121	0.150199	0.00169506	-0.140741
T4173	15.33	-0.0898466418857923	-0.219084353734966	0.107964062286377	-0.0582475504794471	-0.0582993	0.144429	0.00892444	0.0775278
T4174	14.33	0.232504265964766	0.0236093996139472	0.063369323646164	-0.0172752578895273	-0.0196888	0.137733	-0.00661451	0.199458
T4175	18.33	-0.117930552444397	-0.18049379329454	0.141044124379495	-0.0697271731134829	-0.0537395	0.147689	0.00877908	0.134683
T4177	9	-0.296611968820663	-0.0569077541385066	0.130047450505264	0.0516419277353777	0.110508	-0.00812714	0.154408	-0.00693556
T4178	31	0.0383439652448052	-0.230906745749508	0.00482340542185926	-0.0193032725807364	-0.0530279	0.151658	0.0151121	0.190078
T4179	10	-0.138728003179867	-0.196951829517934	0.102563557132399	0.0192253223607961	0.109647	-0.00620685	0.135667	-0.00210473
W4193	10.67	-0.0670628735307981	0.0315885856232252	-0.00126610578718928	-0.0595375783981719	0.0916886	-0.013241	-0.137874	-0.000874646
